title,citation,coram,decision_date,case_no,bench,pdf_path_or_url,snippet
Pradeep Nirankarnath Sharma v. Directorate of Enforcement & Anr.,[2025] 4 S.C.R. 71,"Coram : VIKRAM NATH * , PRASANNA BHALACHANDRA VARALE",17-03-2025,CRIMINAL APPEAL No. 1314/2025,2 Judges,pdfs/Pradeep Nirankarnath Sharma v. Directorate of Enforcement & Anr..pdf,"Prevention of Money Laundering Act, 2002 – The allegation against the appellant was that he was involved in financial transactions related to proceeds of crime, generated through fraudulent activities causing significant financial losses to the State – The appellant has contended that the alleged acts do not constitute an offence under the PMLA as the same was not in force during the relevant period, or the predicate offences as alleged were not included in the schedule to the PMLA at the relevant time and, therefore, cannot be subject to proceedings under the PMLA:Held: The contention is untenable – It is well established that offences under the PMLA are of a continuing nature, and the act of money laundering does not conclude with a single instance but extends so long as the proceeds of crime are concealed, used, or projected as untainted property – The legislative intent behind the PMLA is to combat the menace of money laundering, which by its very nature involves transactions spanning over time – In the present case, the material on record establishes that the misuse of power and position by the appellant, coupled with the alleged utilization and concealment of proceeds of crime, has had an enduring impact – The act of laundering money is not a one-time occurrence but rather a process that continues so long as the benefits derived from criminal activity remain in circulation * Author"
Radhika Agarwal v. Union of India and Others,[2025] 2 S.C.R. 1331,"Coram : SANJIV KHANNA * , M.M. SUNDRESH * , BELA M. TRIVEDI",27-02-2025,WRIT PETITION (CRIMINAL) No. 336/2018,3 Judges,pdfs/Radhika Agarwal v. Union of India and Others.pdf,"Customs Act, 1962 – Finance Act, 2012 – Finance Act, 2013 – Finance Act, 2019 – ss.104(4), 104(6) – Central Goods and Services Tax Act, 2017 – ss.69, 70, 132 – Code of Criminal Procedure, 1973 – ss.4, 5, 50; Chapter XII – Constitution of India – Articles 246-A, 21 22(1), 32, 226 – Om Prakash case held that the offences under the Customs Act were non-cognizable and, therefore, the customs officers were required to obtain prior approval from a Magistrate before making an arrest – Subsequently, amendments made – Challenge to the constitutional validity and the right of the authorised officers under the Customs Act as well as the GST Acts to arrest: Held: [Per Sanjiv Khanna, CJI (for himself and M.M. Sundresh, J.)] Challenge to the amendments as well as provisions of the Customs Act, rejected – The amendments made to the Customs Act in 2012, 2013 and 2019 are substantive and were introduced to modify the application of Om Prakash case, which required a customs officer to obtain prior approval from a Magistrate before making an arrest – These amendments designated specified offences as cognizable and non-bailable, while also imposing certain preconditions and stipulations for making arrest – Petitioners’ reliance on Om Prakash case is misconceived as the statutory provisions have undergone amendments to bring them in consonance with the law of the land – Moreover, the * Author"
The Union of India through the Assistant Director v. Kanhaiya Prasad,[2025] 2 S.C.R. 544,"Coram : BELA M. TRIVEDI * , PRASANNA BHALACHANDRA VARALE",13-02-2025,CRIMINAL APPEAL No. 728/2025,2 Judges,pdfs/The Union of India through the Assistant Director v. Kanhaiya Prasad.pdf,"Prevention of Money Laundering Act, 2002 – ss.45, 50 – Commission of offence under PMLA – Grant of bail – Twin conditions for bail u/s.45 – Respondent allegedly layered and laundered the proceeds of crime generated by his father-syndicate member involved in illegal sale of sand using hawala network and concealed the proceeds of crime and used the said proceeds – Complaint filed by the appellant-UOI against the respondent for offences u/ss.3/4 of the PMLA – PMLA court took cognizance of the alleged offences – Bail application by the respondent – Allowed by the High Court – Correctness: Held: High Court in a very casual and cavalier manner, without considering the rigours of s. 45 granted bail to the respondent on absolutely extraneous and irrelevant considerations – No finding that there were reasonable grounds for believing that the respondent was not guilty of the alleged offence under the Act and was not likely to commit any offence while on bail – Non-compliance of the mandatory requirement of s.45 made the impugned order unsustainable and untenable in the eye of law – Art. 20(3) of the Constitution would not come into play in respect of the process of recording statement pursuant to summon issued u/s.50(2) – Furthermore, it cannot be said that the respondent has not been shown as an accused in the predicate * Author"
Vihaan Kumar v. State of Haryana & Anr.,[2025] 2 S.C.R. 424,"Coram : ABHAY S. OKA * , N KOTISWAR SINGH *",07-02-2025,CRIMINAL APPEAL No. 621/2025,2 Judges,pdfs/Vihaan Kumar v. State of Haryana & Anr..pdf,"Constitution of India – Art.22(1) – Mandatory requirement under:Held: [Per Abhay S. Oka, J.] The requirement of informing a person arrested of grounds of arrest is a mandatory requirement of Article 22(1). [Para 21(a)]Constitution of India – Art.22(1) – What is the manner of informing the arrested person of his grounds of arrest:Held: [Per Abhay S. Oka, J.] The information of the grounds of arrest must be provided to the arrested person in such a manner that sufficient knowledge of the basic facts constituting the grounds is imparted and communicated to the arrested person effectively in the language which he understands – The mode and method of communication must be such that the object of the constitutional safeguard is achieved. [Para 21(b)]Constitution of India – Art.22(1) – The burden to prove the compliance of Article 22(1) is on Investigating Officer/Agency:Held: [Per Abhay S. Oka, J.] When arrested accused alleges non-compliance with the requirements of Article 22(1), the burden will always be on the Investigating Officer/Agency to prove compliance with the requirements of Article 22(1). [Para 21(c)]* Author"
Mohd. Tahir Hussain v. State of NCT of Delhi,[2025] 1 S.C.R. 911,"Coram : PANKAJ MITHAL * , AHSANUDDIN AMANULLAH *",22-01-2025,SPECIAL LEAVE PETITION (CRIMINAL) No. 856/2025,2 Judges,pdfs/Mohd. Tahir Hussain v. State of NCT of Delhi.pdf,"Interim Bail – To contest election or for canvassing/campaigning – FIRs against the petitioner inter alia for rioting and murder of an official of IB – Sought interim bail to participate and contest Delhi Assembly Elections, 2025 – Disallowed by the High Court – Challenge to:Held: [Per Pankaj Mithal, J.] Interim bail is not permissible for contesting elections, much less for campaigning – Right to campaign or canvass is neither a fundamental right nor a constitutional or a human right or even a statutory right – There is no provision for interim bail under the law but lately it has become an acceptable mode of grant of bail in certain special contingencies – If interim bail is made permissible on the ground of contesting elections, it will open a Pandora’s box – The allegations made against the petitioner along with the chargesheet in connection with the rioting and the murder of the official of IB are serious – High Court rightly refused interim bail to the petitioner – No case made out for any indulgence. [Paras 6, 7, 9, 12]  [Per Ahsanuddin Amanullah, J.] Merely because a statute imposes limitations on grant of bail, the same per se does not oust the jurisdiction of a Constitutional Court to grant bail – Though, the allegations and the evidence against the Petitioner are grave and reprehensible but the magnitude and gravity of the offence alleged are no grounds to deny bail, moreso when trial is prolonged – Petitioner’s rights u/Articles 14 and 21 cannot be * Author"
Lal Mohd. & Anr. v. State of U.P. & Ors.,[2025] 5 S.C.R. 741,"Coram : VIKRAM NATH * , SANDEEP MEHTA",14-05-2025,CRIMINAL APPEAL No. 2593/2025,2 Judges,pdfs/Lal Mohd. & Anr. v. State of U.P. & Ors..pdf,"Uttar Pradesh Gangsters & Anti-Social Activities (Prevention) Act, 1986 – s.2(b), (c) – First FIR was registered against the appellants and others on 11.10.2022 for alleged involvement in violence and vandalism following a social media post allegedly hurting their religious sentiments – Gang Chart was prepared on 29.04.2023, impugned FIR u/s.3(1), UP Gangsters Act was filed on 30.04.2023 – Appellants sought quashing thereof, refused by High Court – Interference with:Held: The procedural and substantive thresholds prescribed u/s.2(b) and 2(c), UP Gangsters Act have not been adequately met in the present case – The incident occurred on 10.10.2022, first FIR was filed on 11.10.2022 and the appellants were granted bail in January, 2023 – No new act or omission occurred between the registration of the foundational FIR on 11.10.2022 and the preparation of the gang chart on 29.04.2023 – Thus, gang chart was prepared on 29.04.2023 and the impugned FIR was filed on 30.04.2023, sans any fresh or intervening conduct – Mere listing of multiple accused persons without demonstrating their organizational roles, command structure, or evidence of prior or continued coordinated criminal activities fails to meet the stringent requirements for establishing gang membership – Thus, mere involvement of the accused appellants in a demonstration pursuant to a communal flare-up, * Author"
M/s Sundew Properties Limited v. Telangana State Electricity Regulatory Commission & Anr.,[2024] 5 S.C.R. 739,"Coram : SANJIV KHANNA * , DIPANKAR DATTA",17-05-2024,CIVIL APPEAL No. 8978/2019,2 Judges,pdfs/17-05-2024_CIVIL APPEAL No. 8978_2019.pdf,"Electricity Act, 2003 – s. 14(b) proviso – Distribution of Electricity Licence (Additional Requirements of Capital Adequacy, Creditworthiness and Code of Conduct) Rules, 2005  – r. 3(2) – Andhra Pradesh Electricity Regulatory Commission (Distribution Licence) Regulations, 2013 – Regns 12, 13 – Application for grant of Distribution Licence in the area of supply of an existing Distribution Licensee – Procedure to get identified as deemed distribution licensee – On facts, designation of an entity-appellant as a Special Economic Zone-SEZ developer by the Ministry – Appellant, if ipso facto qualifies the entity to be a deemed distribution licensee, obviating the need for an application u/s. 14 – Regn 12 of the 2013 Regulations and by implication r. 3(2) of the 2005 Rules, if applicable to a SEZ developer recognised as a deemed distribution licensee under the proviso to s. 14(b) read with Regn 13 of the 2013 Regulations – Condition imposed by the "
"Mahakali Sujatha v. The Branch Manager, Future Generali India Life Insurance Company Limited & Another",[2024] 4 S.C.R. 724,"Coram : B.V. NAGARATHNA * , AUGUSTINE GEORGE MASIH",10-04-2024,CIVIL APPEAL No. 3821/2024,2 Judges,"pdfs/Mahakali Sujatha v. The Branch Manager, Future Generali India Life Insurance Company Limited & Another.pdf","Insurance Act, 1938 – s.45, before the 2014 amendment – Evidence Act, 1872 – Burden of proof – Onus of proof – Repudiation of insurance claim of the complainant on the ground of the material suppression of information regarding the previous policies – Consumer complaint filed – The District Commission allowed the complaint on the ground that no documentary evidence was available to show that deceased-insured had taken various insurance policies from other companies – The State Commission upheld the order of the District Commission – However, the NCDRC observed that the respondent insurance company had given details of the aforesaid policies by way of affidavit and the same was not denied by the complainant in her affidavit – Therefore, NCDRC concluded that deceased insured had withheld information in respect of several insurance policies which he had taken from other insurers – Correctness:"
"1071 CASE DETAILS VISHNU KUMAR SHUKLA & ANR. v. THE STATE OF UTTAR PRADESH & ANR. NOVEMBER 28, 2023",[2023] 13 S.C.R. 1071,"Coram : VIKRAM NATH * , AHSANUDDIN AMANULLAH",28-11-2023,CRIMINAL APPEAL No. 3618/2023,2 Judges,"pdfs/1071 CASE DETAILS VISHNU KUMAR SHUKLA & ANR. v. THE STATE OF UTTAR PRADESH & ANR. NOVEMBER 28, 2023.pdf",
Jupally Lakshmikantha Reddy v. State of Andhra Pradesh & Anr.,[2025] 10 S.C.R. 58,"Coram : B.V. NAGARATHNA * , JOYMALYA BAGCHI",10-09-2025,CRIMINAL APPEAL No. 3951/2025,2 Judges,pdfs/Jupally Lakshmikantha Reddy v. State of Andhra Pradesh & Anr..pdf,"Penal Code, 1860 – ss.420, 465, 468, 471 – National Building Code of India, 2016 – Appellant’s society was running an educational institution from a building having height of 14.20 metres – FIR was filed u/ss.420, 465, 468, 471; chargesheet filed u/s.420 alleged that the appellant had created a forged Fire NOC and used it to obtain recognition/renewal of affiliation for his institution – High Court refused to quash the proceedings – Challenge to:Held: 1.1 In order to attract the offence of cheating, a person must knowingly make a false statement which would induce another to part with property or to do or omit to do a thing which the latter would not do or omit unless deceived and thereby is likely to suffer damage/harm in body, mind, reputation or property. [Para 13]1.2 Further, admittedly, NOC from the Fire Department was not necessary for recognition/renewal of affiliation of educational institutions which are imparting education from the buildings having height below 15 metres – Thus, NOC from the Fire Department was not necessary for grant of such recognition/renewal of affiliation as admittedly, the height of the appellant’s building was below 15 metres – Therefore, the representation of the appellant that he possessed a valid NOC cannot be said to have induced the Education Department to grant recognition or renew the affiliation. [Paras 10, 16]* Author"
Shrichand Rajaram Kukreja and Anr. v. The State of Maharashtra and Anr.,[2025] 5 S.C.R. 696,"Coram : VIKRAM NATH * , SANDEEP MEHTA",14-05-2025,CRIMINAL APPEAL No. 2591/2025,2 Judges,pdfs/Shrichand Rajaram Kukreja and Anr. v. The State of Maharashtra and Anr..pdf,"Penal Code, 1860 – ss.406, 420, 467, 468, 471 and 34 – The complainant alleged that he had worked on the project of STP plant and drainage pipe line as a sub-contractor for BUL but only a partial payment against the total work carried out was received by him – In this manner, the complainant claimed to have been cheated – It was alleged that accused submitted false documents claiming to have performed the work whereas it was the complainant who had carried out the said work under the sub-contract – It was also alleged that signatures of engineers employed by complainant were forged – FIR was registered – The appellants herein filed a quashing petition u/s.482 of CrPC – The quashing petition and the criminal writ petition came to be rejected by the High Court – Correctness:Held: The complainant came out with an admitted case in his complaint that he had received a part payment to the tune of  Rs. 3,68,15,612/- from the appellants, towards the work which was carried out in furtherance of the sub-contracts awarded initially through the sub-contractor, namely SWD Infra, and thereafter directly to the complainant’s company – Apparently thus, the admitted facts as available on record reveal that the complainant’s claim is for reimbursement of the remaining amount claimed by him towards the works executed in furtherance of a contract – The allegations, made in the complaint, present a dispute which is purely commercial and civil in nature – It seems that the complainant has * Author"
Shanmugam @ Lakshminarayanan v. High Court of Madras,[2025] 6 S.C.R. 100,"Coram : SUDHANSHU DHULIA * , PRASHANT KUMAR MISHRA",02-05-2025,CRIMINAL APPEAL No. 5245/2024,2 Judges,pdfs/Shanmugam @ Lakshminarayanan v. High Court of Madras.pdf,"Contempt of Courts Act, 1971 – ss.15(1) r/w 18(1) – In Execution Petition filed by the decree holder, contemnors produced interim orders passed by the High Court staying the decree  – On verification it was found that the said orders were fraudulently created by committing forgery and impersonation in the name of the Judge of the High Court – High Court held the appellants responsible in preparation of the bogus High Court interim orders and held them guilty of contempt – Correctness:Held: When a person is found to have utilised an order of a court which he or she knows to be incorrect for conferring benefit on persons who are not entitled to the same, the very utilisation of the fabricated order by the person concerned would be sufficient to hold him/her guilty of contempt, irrespective of the fact whether he or she himself or herself is the author of fabrication – High Court initiated suo motu contempt on proved and admitted facts that Contemnor No.3 produced fake interim orders of the High Court and the same were prepared by Contemnor No.4  and 7 – On facts, it is established beyond all reasonable doubt that the appellants-contemnors have either used or created fake High Court interim orders – It is not a case of mere probability of commission of offence rather it is a proved case of commission * Author"
Sohom Shipping Pvt. Ltd. v. M/s The New India Assurance Co. Ltd. & Anr.,[2025] 5 S.C.R. 33,"Coram : B.V. NAGARATHNA * , SATISH CHANDRA SHARMA",07-04-2025,CIVIL APPEAL No. 2323/2021,2 Judges,pdfs/07-04-2025_SOHOM SHIPPING PVT. LTD. versus M_S THE NEW INDIA ASSURANCE CO. LTD. & ANR. - [2025] 5 S.C.R. 33 2025 INSC 453.pdf,"Consumer Protection Act, 2019 – s.67 – Insurance Contract – The appellant company insured its voyage and the vessel with the respondent insurance company – The insurance contract contained a special condition that the “voyage should commence & complete before the monsoon sets in” – The vessel undertook voyage on 06.06.2013 and on the very next day it got anchored due to bad weather and engine failure – The insurance claim of the appellant was repudiated on the ground that the vessel set sail after monsoon set in thereby breaching the special condition in the insurance contract – NCDRC dismissed the complaint of the appellant on account of the doctrine of Uberrima fidei (good faith) being compromised – Correctness:Held: There is no doubt that the policy was taken for a period of one month (16.05.2013 to 15.06.2013) to cover the voyage from Mumbai to Kolkata – Further, as per the DGS Circular, foul weather commences on 1st May itself on the East Coast – The respondent’s contention that they had no knowledge of the voyage and that they believed that the Vessel would be laid up at the Kolkata harbour during the foul season is unacceptable * Author"
The State of Jharkhand & Ors. v. Rukma Kesh Mishra,[2025] 3 S.C.R. 1254,"Coram : DIPANKAR DATTA * , MANMOHAN",28-03-2025,CIVIL APPEAL No. 4480/2025,2 Judges,pdfs/The State of Jharkhand & Ors. v. Rukma Kesh Mishra.pdf,"Constitution of India – Art.311 – Dismissal, removal or reduction in rank of persons employed in civil capacities under the Union or a State – Authority to issue chargesheet or initiate disciplinary proceedings against the government servant – Respondent-civil service officer, indulged in diverse activities constituting misconduct – Deputy Commissioner seeking approval of initiation of disciplinary proceedings along with draft charge-sheet, placed the proposals before the Chief Minister – Proposals approved by the Chief Minister and suspension of the respondent – Issuance of charge-sheet and conduct of the departmental inquiry, and thereafter, the respondent dismissed from service – Respondent then filed writ petition challenging the order of dismissal on the ground of absence of approval by the Chief Minister at or about the time of issuance of the charge-sheet, allowed by the High Court-Division Bench upheld the same – Sustainability:Held: Unless the relevant rules applicable to an officer/employee of an authority so require, disciplinary proceedings by issuance of a charge-sheet cannot be faulted solely on the ground that Appointing Authority/Disciplinary Authority has not issued the same or approved it – On facts, no infirmity in initiation of disciplinary * Author"
R. Shashirekha v. State of Karnataka and Others,[2025] 3 S.C.R. 1217,"Coram : BHUSHAN RAMKRISHNA GAVAI * , AUGUSTINE GEORGE MASIH",27-03-2025,CRIMINAL APPEAL No. 1539/2025,2 Judges,pdfs/R. Shashirekha v. State of Karnataka and Others.pdf,"Code of Criminal Procedure, 1973 – s.482 – Penal Code, 1860 – ss.306, 420 – Quashing of complaint – Abetment of suicide – Cheating – Victim, respondent nos.2 and 3 partners in a firm, and respondent no.4 was the manager – Victim committed suicide by hanging – After about 39 days, the appellant-wife of the deceased registered a complaint that she found a death note written by the deceased which stated that deceased was cheated by respondent nos.2 and 3, and that the respondent no.4 was directly involved in the case – Case of the appellant that a week before the death of her husband, her husband had received continuous calls from respondent nos.2 and 3, and whenever he received such calls, he used to be completely upset and had decided to commit suicide – Respondents filed a petition u/s.482 before the High Court to quash the FIR – High court allowed the petition holding that ingredients of ss.306 and 420 IPC not made out – Correctness:Held: Nothing could prevent the appellant from reporting the matter to the police immediately after the deceased committed suicide – It is apparent from the material on record that all these allegations were an afterthought – Single Judge of the High Court held there is not a titter of a document that would pin respondents down for any act of abetment for suicide of the husband of the appellant – Even taking the allegations at its face value, it cannot be said that * Author"
Kanishk Sinha & Another v. The State of West Bengal & Another,[2025] 2 S.C.R. 1405,"Coram : SUDHANSHU DHULIA * , AHSANUDDIN AMANULLAH",27-02-2025,CRIMINAL APPEAL No. 966/2025,2 Judges,pdfs/Kanishk Sinha & Another v. The State of West Bengal & Another.pdf,"Judgments – Operation of – Plea of the appellants that the second FIR was registered on the complaint which was filed before the Magistrate u/s.156(3), CrPC, however, it was not accompanied by an affidavit and therefore, the direction issued by this Court in Priyanka Srivastava (2015) that all such complaints should now be accompanied by an affidavit was violated – High Court dismissing the criminal revisions filed by the appellants held that the direction in Priyanka Srivastava will only operate prospectively and thus, was not applicable to the complaint lodged against the appellants in the year 2010-2011 – Challenge to:Held: High Court was right in holding that the direction in Priyanka Srivastava that a complaint will be accompanied by an affidavit, will be prospective in nature – In Priyanka Srivastava, this Court was seized with an issue where frivolous complaints were being filed before the Magistrate only to harass people and therefore, in order to check this trend, it was directed that all applications before the Court where s.156(3) CrPC applications are made must be supported by an affidavit duly sworn by the applicant who seeks to invoke the jurisdiction of the Magistrate – Such a step could only be prospective in nature, and this is clearly reflected from the very language used therein signifying that what the Court intended was * Author"
Narayan Das v. State of Chhattisgarh,[2025] 8 S.C.R. 289,"Coram : J.B. PARDIWALA, R MAHADEVAN",17-07-2025,SPECIAL LEAVE PETITION (CRIMINAL) No. 10310/2025,2 Judges,pdfs/Narayan Das v. State of Chhattisgarh.pdf,"Narcotic Drugs and Psychotropic Substances Act, 1985 – s.32-B – Factors to be taken into account for imposing higher than the minimum punishment – High Court’s understanding that u/s.32-B minimum punishment is considered as maximum punishment; and that at the time of imposing sentence the trial court to keep in mind the factors as provided in clauses (a) to (f) of s.32-B – Correctness:Held: Understanding of the High Court not correct – s.32-B provides that the court in addition to various relevant factors may also take into account the factors as prescribed in Clauses (a) to (f) – Thus, in a given case, the trial court may not find it necessary to consider the factors as prescribed in s.32-B – Having regard to the quantity of the contraband, the nature of the narcotic or the psychotropic substance, as the case may be, the antecedents, if any, etc., may deem fit to impose punishment which can be more than the minimum – Thus, no good reason for the High Court to reduce the sentence from 12 years to 10 years relying on  Rafiq Qureshi’s case – Dictum laid down in Rafiq Qureshi’s case was not understood in its true perspective – This Court in Rafiq Qureshi’s case clarified that the language of s.32-B inherently preserves the court’s discretion to consider other relevant factors beyond those listed – Thus, factors mentioned in s.32-B are in addition to other relevant facts, and it cannot be said that the minimum sentence under the NDPS Act is to be considered as a maximum sentence – However, order of the High Court reducing the sentence not interfered with. [Paras 14, 17]"
Dhanya M v. State of Kerala & Ors.,[2025] 7 S.C.R. 354,"Coram : SANJAY KAROL * , MANMOHAN",06-06-2025,CRIMINAL APPEAL No. 2897/2025,2 Judges,pdfs/Dhanya M v. State of Kerala & Ors..pdf,"Kerala Anti-Social Activities (Prevention) Act, 2007 – ss.3, 2(j), (o) – Order of detention u/s.3(1), if sustainable:Held: No – s.2(j) states that a person who indulges in activities “harmful to maintenance of public order” is covered by the Act – In the present case, the facts and circumstances do not fall under the category of a public order situation – The detention order does not state any reason as to how the actions of the detenu were against the public order of the State – Given the extraordinary nature of the power of preventive detention, no reasons were assigned by the detaining authority, as to why and how the actions of the detenu warranted the exercise of such an exceptional power – State should move for cancellation of bail of the detenu, instead of placing him under the law of preventive detention – Exercise of power u/s.3 was not justified in law – Order of detention and the impugned judgment of the High Court affirming the said order passed by the District Magistrate u/s.3(1), are set aside – Kerala Money Lenders Act, 1958 – Kerala Prohibition of Charging Exorbitant Interest Act, 2012 – Penal Code, 1860 – SC/ST Prevention of Atrocities Act, 1989. [Paras 17, 19, 21-23]Kerala Anti-Social Activities (Prevention) Act, 2007 –  ss.2(j), (o), 3, 7, 12 – Scheme and object of the Act – Discussed. [Paras 12-15]Constitution of India – Art.22 – Preventive detention – Extraordinary power, exercise of:* Author"
Harinagar Sugar Mills Ltd.,[2025] 7 S.C.R. 427,"Coram : SANJAY KAROL * , PRASHANT KUMAR MISHRA",04-06-2025,CIVIL APPEAL No. 7372/2025,2 Judges,pdfs/Harinagar Sugar Mills Ltd..pdf,"Industrial Disputes Act, 1947 – s.25-O(1), 25-O(3) – Industrial Dispute (Maharashtra) Rules, 1957 – r.82-B(1) – Appellant-HSML was engaged in biscuit manufacturing exclusively for BIL under Job Work Agreements (JWA) – JWA was terminated by BIL – Resultantly, applications for closure of business were made to the competent authorities on 26.08.2019 – By a letter dated 25.09.2019 sent by Dy. Secretary, State Government informed HSML that they failed to disclose their efforts to prevent closure, nor had they given cogent reasons for closure and were, therefore, asked to resubmit their application – By way of reply dated 10.10.2019, HSML furnished the particulars as asked for – It is to be noted that the 60-day period provided for u/s. 25-O(3) of the Act ran out on 27.10.2019 – On 04.11.2019, HSML was once again asked to resubmit their application as authorities found response of HSML lacking – HSML in their response contended that by virtue of s.25-O(3), the permission of closure is deemed to have been granted  – The Deputy Commissioner sent to HSML two letters, dated 20.11.2019 and 22.11.2019 asking them to be present for a meeting on 26.11.2019, and conveying to them that the State Government was yet to grant permission for closure – Letters * Author"
Harpreet Singh Talwar @ Kabir Talwar v. The State of Gujarat th. National Investigating Agency,[2025] 6 S.C.R. 291,"Coram : SURYA KANT * , N KOTISWAR SINGH",13-05-2025,CRIMINAL APPEAL No. 2570/2025,2 Judges,pdfs/Harpreet Singh Talwar @ Kabir Talwar v. The State of Gujarat th. National Investigating Agency.pdf,"Bail – Narcotic Drugs and Psychotropic Substances Act, 1985 – ss.8(c), 21(c), 23(c), 29 – Unlawful Activities (Prevention) Act, 1967 – ss.17, 18, 22C – Penal Code, 1860 – s.120B – Cross-border smuggling of narcotics – Seizure of 2,988.21 kg heroin-laced talc stones imported into India through Gujarat, under the cover of commercial consignments, allegedly originating from Afghanistan and routed through Iran – Appellant allegedly played a central and coordinating role in its facilitation – Bail denied:Held: Appellant’s alleged meetings in Dubai with a principal foreign accused; the transfer of documents through intermediaries for the clearance of a flagged consignment; efforts to retrospectively fabricate invoices and assign responsibility to others; use of multiple firms allegedly connected to him to obfuscate the true nature of the transactions; and his telephonic calls to certain co-conspirators, supported by the statements of protected witnesses and circumstantial linkages, meet the threshold of prima facie satisfaction regarding the appellant’s complicity – Prosecution claims that the seizure in the connected consignment is part of the largest heroin bust in Indian history – Trial is ongoing before the NIA Court and is at the stage of examination of Prosecution witnesses – Multiple key witnesses are yet to be examined – Out of 24 most vulnerable or material witnesses, two have died and two others are untraceable – The risk of witness tampering or * Author"
Karandeep Sharma @ Razia @ Raju v. State of Uttarakhand,[2025] 3 S.C.R. 1482,"Coram : VIKRAM NATH * , SANJAY KAROL, SANDEEP MEHTA",04-03-2025,CRIMINAL APPEAL No. 630/2018,3 Judges,pdfs/Karandeep Sharma @ Razia @ Raju v. State of Uttarakhand.pdf,"Circumstantial evidence – Penal Code, 1860 – ss.376A, 302, 366, 363, 201 – Protection of Children from Sexual Offences Act, 2012 – ss.5, 6 – Kidnapping, rape/sexual assault and murder of minor – Case based on circumstantial evidence – Appellant was convicted, death sentence awarded  – Sustainability:Held: Unsustainable – Prosecution relied totally on circumstantial evidence in the form of last seen theory, recoveries, DNA/FSL report and the confession of the appellant – The witnesses remained silent and did not disclose to the police regarding they having seen the appellant taking away the child-victim with himself, thus, the prosecution case regarding the theory of last seen is demolished – Further, non-examination of the scientific expert who carried out the DNA profiling is fatal – DNA report was merely exhibited in evidence by the IO (PW-14) who was not connected with the report in any manner – The procedure of collecting the samples was also tainted on account of non-sealing of the forensic material collected from the appellant – Thus, DNA/FSL reports cannot be read in evidence – Furthermore, the recoveries were planted as the appellant would not keep the clothes with him for almost two days after the incident so as to facilitate the police to recover the same at a later point of time – The confession was also extracted under duress and * Author"
Sharmila Velamur v. V. Sanjay and Ors.,[2025] 3 S.C.R. 377,"Coram : SURYA KANT * , DIPANKAR DATTA, UJJAL BHUYAN",03-03-2025,CRIMINAL APPEAL No. 1037/2025,3 Judges,pdfs/Sharmila Velamur v. V. Sanjay and Ors..pdf,"Child and family welfare – Custody matter – Appellant-mother and respondent no. 4-father are US citizens, divorced in US – Appellant was granted permanent legal guardianship of their elder son ‘A’ who suffers from Ataxic Cerebral Palsy, by the US Court – However, while the guardianship proceedings were pending, the Respondent No.4 brought A to India without informing the Appellant – She filed writ of habeas corpus in High Court alleging illegal detention of A – High Court very briefly interacted with A and held that he was consensually living with Respondent No.4 in India, dismissed the petition – Supreme Court doubting the child's capacity to make independent decisions, ordered a medical assessment at NIMHANS, Bengaluru:Held: NIMHANS, Bengaluru in its Comprehensive Assessment Report held that owing to ‘A’ cognitive and physical limitations, he does not possess the capacity to make well-informed, independent decisions, for his own benefit, on complex subject matter, such as long-term residence – This is also concurred by the report of the Evaluation Committee constituted by the Idaho Department of Health and Welfare (West Hub Developmental Disabilities Program) – Thus, as ‘A’ was assessed to possess the cognitive abilities of an 8 to 10-year-old child, the reasoning assigned by the High Court, * Author"
Raju @ Nirpendra Singh v. The State of Madhya Pradesh,[2025] 2 S.C.R. 1821,"Coram : VIKRAM NATH * , SANJAY KAROL",27-02-2025,CRIMINAL APPEAL No. 1172/2014,2 Judges,pdfs/Raju @ Nirpendra Singh v. The State of Madhya Pradesh.pdf,"Penal Code, 1860 – ss.366 and 376(2)(g) – Village girl allegedly kidnapped and gang-raped by accused-appellants over a period of two months – Conviction of appellants by trial court and High Court – Propriety:Held: Dental examination of prosecutrix and further evidence such as photocopies of school register, transfer certificate, statement of the Principal of school, proved that prosecutrix was aged less than seventeen years of age at the starting date of the continuing offence – Guardian of the prosecutrix, PW-13, had also stated the age of the prosecutrix to be less than 18 years of age in the missing person’s report as well as in her deposition before the Trial Court – Once the age of the prosecutrix at the time of the incident is established to be that of minority, the question of consent per se becomes irrelevant and the act shall qualify as statutory rape nevertheless – Subjection to sexual intercourse under fear of accused persons can in no way be understood to mean as consent on part of the prosecutrix – Further, the reliance of the appellants on the medical report which suggested that the prosecutrix was accustomed to sexual intercourse shall not further their contention of the sexual act to be consensual in nature – The * Author"
